Last Name,First Name,KIA,War
ABBOT, CHARLES W JR,FALSE,WW1
ACKERMAN, SAMUEL,FALSE,WW1
AINSWORTH, HAROLD,FALSE,WW1
ALLETAG, OTTO J,FALSE,WW1
ALLETAG, RUDOLPH,FALSE,WW1
AMEDEE, NAPOLEON F,FALSE,WW1
AMEDEE, WILFRED,FALSE,WW1
ANDEROZZI, PRIMO S,FALSE,WW1
ANDRUZESKI, METRO,FALSE,WW1
AREL, DONAT P,FALSE,WW1
ASSELIN, ALBERT J,FALSE,WW1
ASSELIN, ERNEST A,FALSE,WW1
ASSELIN, HECTOR,FALSE,WW1
ATCHESON, EDWARD,FALSE,WW1
ATKINSON, EDWIN T,FALSE,WW1
AUBIN, ALBERT,FALSE,WW1
AUBIN, ALDEGE,FALSE,WW1
AUBIN, CLIFFORD,FALSE,WW1
AUBIN, JOSEPH O,TRUE,WW1
AUBIN, OVIDE,FALSE,WW1
AUBIN, WILFRED,FALSE,WW1
AUGUST, JOHN,FALSE,WW1
ALYSWORTH, HAROLD,FALSE,WW1
BABCOCK, JOSEPH,FALSE,WW1
BACKHOUSE, ALBERT L,FALSE,WW1
BACON, HENRY,FALSE,WW1
BARTOSEWITZ, VINCENT,FALSE,WW1
BAXTER, ALBERT,FALSE,WW1
BAXTER, WILLIAM H,FALSE,WW1
BEAUCHANE, ALFRED,FALSE,WW1
BEAUPARLANT, ARTHUR J,FALSE,WW1
BEAUPRE, HARVEY,FALSE,WW1
BELANGER, JOSEPH T,FALSE,WW1
BERGERON, GERNON G,FALSE,WW1
BERNATCHEZ, GERARD,FALSE,WW1
BERNATCHEZ, JOSEPH S,FALSE,WW1
BERNATCHES, TELESFORD,FALSE,WW1
BESAW, GEORGE E JR,FALSE,WW1
BESSETTE, ROSARIO,FALSE,WW1
BILEDEAU, EUGENE JR,FALSE,WW1
BLAIS, EMILE,FALSE,WW1
BLOUIN, ALBERT A,FALSE,WW1
BLOUIN, LEO J,FALSE,WW1
BLOUNT, BYRON B,FALSE,WW1
BOENIGER, HENRY,FALSE,WW1
BOENIGER, JOHN B,FALSE,WW1
OSWORTH, BENJAMIN M,FALSE,WW1
BOUCHARD, ARTHUR J,FALSE,WW1
BOUCHARD, EDWARD,FALSE,WW1
BOUCHER, HENRY,FALSE,WW1
BOUFFARD, ALBERT J,FALSE,WW1
BOUFFARD, ISAAC,FALSE,WW1
BOUFFARD, LEO,FALSE,WW1
BOUFFARD, SIMON,FALSE,WW1
BOURASSA, JOSEPH R,FALSE,WW1
BOURASSA, LEO,FALSE,WW1
BOUTIN, OMER E,FALSE,WW1
BOUTIN, WILFRED J,FALSE,WW1
BOWEN, HAROLD C,FALSE,WW1
BOWEN, JOSEPH H,FALSE,WW1
BOYD, JOHN F,FALSE,WW1
BOYD, RAYMOND,FALSE,WW1
BOYSDALE, EDWARD,FALSE,WW1
BROCHU, ALEXANDER,FALSE,WW1
BROCHU, NAPOLEON,FALSE,WW1
BROCHU, OVILA,FALSE,WW1
BROCHU, WILLIAM J,FALSE,WW1
BROULETTE, ROBERT N,FALSE,WW1
BROWN, HAROLD J,FALSE,WW1
BROWN, MARTIN R,FALSE,WW1
BROWN, WALTER E,FALSE,WW1
BROWNE, FREDERICK H,FALSE,WW1
BUCKINGHAM, BUELL N,FALSE,WW1
BUFFINGTON, DAVID P,FALSE,WW1
BURNS, JOHN,FALSE,WW1
BUTLER, JOSEPH,FALSE,WW1
BUTTERWORTH, HEZEKIAN S,FALSE,WW1
BUTTERWORTH, THOMAS J,FALSE,WW1
CAMPBELL, JOHN H,FALSE,WW1
CARR, WILLIAM J,FALSE,WW1
CASALA, RALPH,FALSE,WW1
CAVANAUGH, WILFRED,FALSE,WW1
CERICOLA, VINCENT,TRUE,WW1
CHAUVIN, OLIVER,FALSE,WW1
CHRISTY, HARRISON S.,FALSE,WW1
CLARK, RAYMOND,FALSE,WW1
CLOUTIER, EDWARD,FALSE,WW1
CLOUTIER, ERNEST J,FALSE,WW1
CLOUTIER, JOHN,FALSE,WW1
CLOUTIER, THOMAS,FALSE,WW1
COCCIA, LUGI,FALSE,WW1
COLE, CHARLES B,FALSE,WW1
COLE, KENNETH C,FALSE,WW1
COLLAMORE, JOHN II,FALSE,WW1
COLLIER, THOMAS,FALSE,WW1
COLLINS, EDWARD,FALSE,WW1
COLLINS, JOHN J,FALSE,WW1
COLLINS, THOMAS,FALSE,WW1
COLOGNE, ADOLF,FALSE,WW1
COLOGNE, LOUIS,FALSE,WW1
CONLEY, JOHN E SR,FALSE,WW1
CONLEY, WILLIAM M,FALSE,WW1
CONRICK, EDWARD J,FALSE,WW1
CONRICK, JOHN,FALSE,WW1
CONTOIS, LEO,FALSE,WW1
COOK, ERNEST S,FALSE,WW1
COOK, LEGER D,FALSE,WW1
COOK, LLEWELYN,FALSE,WW1
COOK, MORRIS H,FALSE,WW1
COOK, WILLIAM H,FALSE,WW1
CORCORAN, MARIE V,FALSE,WW1
CORCORAN, ROSE M,FALSE,WW1
COREY, JOHN,FALSE,WW1
COSTA, JOHN S,FALSE,WW1
COTE, ALFRED J,TRUE,WW1
