Last Name, First Name, KIA, War
ALFRED, JOHN C
BANCROFT, JOHN R
BANCROFT, ROBERT R
BENTO, JOHN C
BETTENCOURT, RUSSELL
BOUCHER, PAUL E
BOUCHER, SHERI A
BROWN, ROBERT W
BURNS, WILLIAM J
CAPPUCCILLI, JOSHUA P
CORREIA, JAMES R JR
DALLAIRE, LAURENT D
DAPONTE, MICHAEL J
DISARRO, FRANK N
FROST, WILLIAM D
GERVAIS JOHN E JR
HALE, JOSEPH H
JANNITTO, MARK E
LEBRUN, JOSEPH D
MEDEIROS, RICHARD J
MELLO, WAYNE SR
MINER, ERNEST R
MINER, ERNEST G
MINER, GERALD F JR
O'BRIEN, PATRICK
PARISI, ANIELLO JR
PEREIRA, MANUEL JR
PLAMONDON, STANLEY M
RINGWOOD, CHARLES A
RINGWOOD, MARY ELLEN
ROBINSON, ANDREW F
ROCCABELLO, STEPHEN R JR
SIMMONS, FREDERICK S III
STABILA, SALVATORE P
VALENTE, RICHARD J
VITULLO, RONALD E
WHYTE, PAUL A
