Last Name, First Name, KIA, War
ABBRUZZI, STANLEY J
ACCARDI, MICHAEL
ACCARDI, PETER L JR
ALDERSON, BERNARD L
ALDERSON, ROBERT H
ALMEIDA, EDWARD J
ALMEIDA, VICTOR J
AMARAL , JOSEPH G
ANDREOZZI, ANTIONIO
ANDEROZZI, SORZIO G
ANDEROZZI, VICTOR S
AUGER, ALFRED G
AVILA, FORES L
BANCROFT, LOUIS W
APTISTA, JOSEPH M
BARBA, FRANK A JR
BARON, ADAM J
BEAUCHAINE, GEORGE H
BEAULIEU, PHILIP A
BEAULIEU, ROBERT
BELANGER, RICHARD J
BETTENCOURT, FRANK J
BETTENCOURT, RICHARD R
BETTENCOURT, RUSSEL
BIANCHINO, RICHARD J
BLANK, JOHN J JR
BLANK, ROGER A
BLOUIN, PAUL A
BLOUIN, ROBERT L
BLOUIN, REMEO J
BONALEWICZ, JOHN J JR
BOUCHER, ARMAND
BOUCHER, CHARLES
BOUCHER, KENNETH A
BOULANGER, ROLAND R
BRASSIL, THOMAS
BRISTOW, RICHARD K
BROCHU, RHICARD S
BRULE, ANTHONY D
BRULE, RICHARD C,*
BUCKO, THEODORE W
BULLOCK, PAUL H
BOLLOCK, THOMAS A
BULLOK, WILLIAM E
BURKE, ROBERT M
BURNS, MICHAEL T
CAMPBELL, ROBERT A
CAPPUCCILLI, EDMUND D JR
CARDOZA, GEORGE M
CARREIRA, EDWARD C
CARUOLO, STEPHEN P
CARVALHO, ALAN W
CARVALHO, GERALD B
CARVALHO, RAYMOND
CARVARA, JESSE JR
CHARETTE, JOSEPH A
CHELLEL, RICHARD A
CIOE, ROCCO E
CODEGA, JAMES J
CORREIA, JAMES R JR
CORREIA, WILLIAM R
CORRIVEAU,
BERNADETTI I
CURRIA, RONALD
DACOSTA, JOSE
DAIGNAULT, KENNETH C
DAIGNAULT, ROBERT M
DALLAIRE, ROBERT J
DAROWSKI, EDWARD F
DAROWSKI, JOHN
DAVIS, JAMES A
DEBLOIS, DAVID N
DERISO, LESTER M,*
DINGES, PAUL A
DION, VICTOR E
DUTELLE, JAMES J JR
DUTRA, MANUEL J JR
DYER, FREDERICK T
ELIASON, DEAN A
ELIASON, SVEN A
ESKIBORN, LOUIS J
ETCHELL, RAYMOND P
ETCHELL, RONALD G
EVERS, KENNETH H
FIGUEIREDO, JOSEPH C
FIGUREID, ALFRED E
FIGUREID, BRUCE H
FISHER, PAUL A
FISKE, ROBERT E
FLYNN, THOMAS E
FORSHEE, CHRISTOPHER M
FORSHEE, ROBERT R
FRATES, JOSEPH L III
FRATES, KENNETH S
FREITAS, ANTHONY J
GAGNON, DAVID F
GALINELLI, ALEXANDER
GARDINER, WILLIAM R JR
GERVAIS, JAMES R
GLOVER, JAMES A
HAMILTON, ROBERT T
HARRIS, GEORGE A JR
HARRIS, JACK G
HEAD, MICHAEL T
HERBERT, GEORGE W
HEUBERGER, JOSEPH E
HOFFMA, GILBERT L
HUFTALEN, ALBERT M
HUNT, CHARLES N JR
JACOBUCCI, PHILIP W
INGRAM, JOHN G
JACKSON, WILLIAM H JR
JAWOREK, MARTIN L
JOHNSON, WILLIAM A
JOLY, RUSSELL N
KAISER, EDWARD A
KEE, GORDON F JR
KEE, RALSTON
KEE, RICHARD
KIERON, THOMAS M
KING, GEORGE F
KINNEY, MICHAEL P
KOZIK, DAVID J
KOZIK, STEVEN J
KRAWCZYK, EDWARD C,*
KRAWCZYK, GREGORY J
LAFRANCE, JAMES
LAMARCA, KENNETH R
LAMONDE, SERGE G
LAMORA, AMOS H
LAMORA, THOMAS J
LANDRY, MAURICE G
LAPAN, STEPHEN W
LAPANE, RICHARD
LAPANE, WILLIAM R
LARIVEE, RONALD C
LAROCHE, DONALD G
LAROCHE, RONALD W
LARUE, EDMOND C JR
LAVEY, RICHARD A
LECLERIC, ROBERT C
LOMBARDI, JUDITH E
LOMBARDO, JOHN A
MACDOUGALL, MICHAEL L
MACDOUGALL, PAUL B
MACDOUGAL, WILLIAM M
MAGEE, JOHN M
MAISANO, JAMES O
MARCELLO, LOUIS C
MARTEL, EDWARD A
MARTEL, WILFRED J JR
MASUD, GEORGE
MATRONE, RALPH J
MCCANNA, JAMES R JR
MACAULEY, WILLIAM T
MELLO, KEVIN
MENDOZA, RICHARD C
MENEZES, ERNEST R
MENEZES, FRANCIS A
MENEZES, MANUEL E
MIKULSKI, STANLEY A JR
MINER, ALLEN G
MINER, ERNEST R
MINER, RICHARD E
MINER, ROBERT L
MIRANDA, JAMES D
MOLTEDO, JON D
MONTAGANO, ERNEST A
MONTAGANO, NICHOLAS R
MOODY, ALAN F
MURPHY, JAMES F JR
MLYNEK, VICTOR JR
NETTO, JULIO L JR
O'BRIEN, DENNIS J
O'BRIEN, JOHN M JR
O'BRIEN, THOMAS E
O'DONNEL, ARMAND W
OLIVER, BRUCE
OLIVIERA, ANTHONY P
O'NEILL, JAMES F
OPFER, DAVID E
PACHECO, EDWARD L
PARADISO, ANNE M
PARADISO, FRANCIS P
PARENT, GEORGE E
PARENT, WILLIAM E
PARKS, GARY H
PATENAUDE, DANIEL J
PATTERSON, PAUL F
PEARSON, MORTON K
PELCHAT, DONALD J
PERROTTO, THOMAS B JR
PERRY, DANIEL A
PERRY, JOHN J
PICARD, ROBERT H
PIEPOWSKI, JOHN R
PLAMONDON, ALFORD B
PLAMONDON, GEORGE J
POLAK, ROBERT C
POUTRE, WILLIAM R
PRIMIANO, MICHAEL J
RAMSDEN, DONALD E
RAMSDEN, PAUL S JR
RAPONE, ROBERT W
RAPOSA, PAUL D
REED, AUGUSTUS B
REED, RAYMOND C
ROCCABELLO, STEPHEN R
RODRIGUES, PHILIP J
RODRIGUES, RONALD J
ROGERS, DANIEL J
SALAMON, JOHN F
SALAMON, JOSEPH
SALAMON, STEVEN W
SAMPSON, ROBERT F
SEVIGNY, PETER F
SIEMBAB, STEPHEN N
SILVA, JOHN
SIMMONS, FREDERICK S
SIMONS, ALDEN
ST.OURS, GREGORY
STANZIONE, NOCHOLAS W JR
STRICKLAND, ROBERT M
STRICKLAND, RONALD G
SULLIVAN, VINCENT S JR
TANNER, RUSSELL A
TAVARES, JESSE M III
TAVARES, ROBERT A
TAVARES, WILLIAM J
THIVIERGE, DONALD J
THIVIERGE, ROGER L
TURNER, WAYNE E
ULMSCHNEIDER, ROBERT A
VALENTI, ROBERT E
VANDERHOEK, ROBERT K
VARGAS, FRANCIS M JR
VITULLO, ORLANDO E
VOCCIO, FRANK
WALMSLEY, THOMAS H
WHITEHEAD, RUTH G
WILKINSON, RONALD J,*
WITHERELL, GUSTIN F
WITT, EARL M JR
WUJICK, EDWARD J
ZEBYSZEWSKI, RICHARD A
